InstanceName,NativeAttributeName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,SourceName,ScenarioName,UnitName,Value
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1981,336.6152778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1982,1768.616667
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1983,2838.290278
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1984,2441.511111
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1985,1171.347222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1986,2434.956944
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1987,413.5847222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1988,232.0847222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1989,433.2472222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1990,365.6888889
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1991,375.1
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1992,286.1986111
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1993,330.7333333
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1994,365.3527778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1995,417.45
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1996,479.4625
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1997,1691.647222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1998,1675.85
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1999,1338.730556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2000,441.8180556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2001,274.4347222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2002,288.3833333
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2003,285.5263889
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2004,279.8125
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2005,434.0875
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/2006,498.2847222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1966,398.1290323
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1967,1124.129032
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1968,1082.982527
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1969,799.3481183
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1970,961.4946237
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1971,1456.391129
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1972,1383.693548
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1973,1170.805108
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1974,956.6155914
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1975,1226.751344
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1976,1080.543011
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1977,354.5430108
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1978,432.9327957
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1979,295.9946237
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1980,1116.159946
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1981,281.3575269
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1982,1487.77957
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1983,2292.982527
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1984,2120.264785
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1985,1205.446237
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1986,1874.524194
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1987,420.8978495
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1988,298.4341398
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1989,410.1639785
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1990,303.313172
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1991,362.0241935
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1992,258.2634409
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1993,417.1572581
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1994,386.4193548
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1995,436.6733871
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1996,510.8346774
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1997,1207.072581
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1998,1250.008065
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/1999,1132.586022
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2000,365.9274194
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2001,323.1545699
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2002,303.1505376
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2003,295.1814516
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2004,315.6733871
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2005,423.5
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,12/1/2006,466.9233871
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1967,414.3169643
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1968,591.4955357
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1969,975.3824405
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1970,526.6741071
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1971,1192.714286
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1972,1538.608631
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1973,1414.727679
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1974,1153.28125
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1975,619.5848214
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1976,1218.102679
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1977,526.6741071
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1978,473.7366071
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1979,460.5922619
